id,employer_id,name,employer,area,published_at,salary_from,salary_to,salary_currency,experience,employment,schedule,key_skills,description,specializations,url,fetched_at
124729657,2942396,Системный аналитик в IT,СтандартПроект,Москва,2025-09-01T18:01:13+0300,,,,От 1 года до 3 лет,Полная занятость,Полный день,['Системный анализ'],"<p>Привет! Мы команда единомышленников и профессионалов СтандартПроект, создаем уникальные, востребованные и современные IT решения в двух ключевых направлениях: фото\видео фиксации и распознавании лиц. У нас огромный опыт перевода процессов в цифровой мир. Мы участвуем в обеспечении бесперебойного функционирования государственных информационных систем, а наши проекты обеспечивают безопасность по всей территории России.</p> <p>✔️ Резиденты Сколково<br />✔️ ИТ-компания, аккредитованная Министерством цифрового развития, связи и массовых коммуникаций Российской Федерации</p> <p>Приглашаем на работу в нашу команду <strong>системного аналитика.</strong></p> <p><strong>Вашими основными задачами будут:</strong></p> <ul> <li>Анализ требований заказчика, изучение документации на системы, изучение функциональности систем;</li> <li>Выявление неполноты, противоречий в требованиях, формирование вопросов для уточнения требований;</li> <li>Сбор недостающей информации, проведение интервью, уточнение требований;</li> <li>Согласование проектных документов с внутренними заказчиками;</li> <li>Формирование в таск-менеджере задач на разработку;</li> <li>Консультации разработчиков, тестировщиков по вопросам, возникающим в процессе разработки, тестирования системы.</li> </ul> <p><strong>Ожидаем от вас:</strong></p> <ul> <li>Опыт описания функциональных требований на разработку программного обеспечения от 1 года;</li> <li>Высшее образование (техническое предпочтительно);</li> <li>Понимание основ реляционных баз данных и SQL, BPMN, UML схема;</li> <li>Базовые знания архитектуры систем;</li> <li>Умение анализировать и синтезировать информацию.</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Достойную заработную плату, ежемесячные и годовые премии, официальное оформление в соответствии с ТК РФ;</li> <li>Интересную предметную область и сложные технические задачи, действительно уникальный опыт, который мало где можно получить;</li> <li>Работу над реальными проектами, которые на слуху у всех;</li> <li>Гибкое начало работы (старт 08.00 – 10.00);</li> <li>График работы: 5/2, СБ и ВС, праздники - выходные дни;</li> <li>Полис ДМС;</li> <li>Корпоративное питание в офисе;</li> <li>Офис рядом с метро Таганская, БЦ Фабрика Станиславского;</li> <li>Работу в команде высококлассных и дружных специалистов.</li> </ul>",[],https://hh.ru/vacancy/124729657,2025-09-21 21:46:25.216968
125504633,,Директор по продажам/Коммерческий директор (FMCG),"Федеральный производитель продуктов питания, один из лидеров в своем сегменте",Москва,2025-09-18T23:41:15+0300,1000000.0,,RUR,Более 6 лет,Полная занятость,Полный день,"['Стратегия продаж', 'Работа с федеральными сетями', 'B2C продажи', 'Управление продажами', 'Управление отношениями с клиентами', 'Аналитика продаж', 'Оптимизация бизнес-процессов', 'Развитие продаж', 'Управление работой с ключевыми клиентами', 'Мотивация персонала']","<p><strong>Директор по продажам/Коммерческий директор (FMCG / Продукты питания)</strong></p> <p><em>Федеральный производитель продуктов питания, один из лидеров в своем сегменте. Мы ищем в свою команду руководителя, который возглавит нашу экспансию и выведет продажи на новый уровень.</em></p> <p><strong>Ключевые задачи:</strong></p> <ul> <li>Разработка и реализация стратегии развития продаж на федеральном уровне.</li> <li>Разработка и реализация коммерческой политики во всех каналах сбыта.</li> <li>Управление и развитие продаж во всех каналах сбыта: федеральные сети, региональные сети, дистрибуторы, маркетплейсы.</li> <li>Формирование и контроль выполнения плана продаж, бюджета департамента.</li> <li>Развитие долгосрочных и прибыльных отношений с ключевыми клиентами.</li> <li>Руководство, мотивация и развитие команды департамента продаж (структура департамента продаж – более 100 чел).</li> <li>Оптимизация системы KPI и бизнес-процессов в департаменте продаж.</li> <li>Анализ рынка, конкурентной среды и поиск новых точек роста для бренда.</li> <li>Оптимизация информационных и CRM-систем в департаменте продаж.</li> </ul> <p><strong>Наши ожидания от кандидата:</strong></p> <ul> <li>Рассматриваем кандидатов ТОЛЬКО из крупных федеральных компаний (продукты питания, FMCG)</li> <li>Опыт успешной работы в должности Директора по продажам по продажам <strong>от 5 лет в сфере FMCG (продукты питания)</strong>.</li> <li>Наличие подтвержденных деловых контактов с крупными федеральными и региональными торговыми сетями.</li> <li>Успешный опыт управления командой от 100 человек, мотивации и построения разветвленных систем KPI.</li> <li>Глубокое понимание процессов FMCG-ритейла, мерчендайзинга, условий эффективного промо.</li> <li>Сильные аналитические навыки, умение работать с большими массивами данных (Excel, BI-системы).</li> <li>Стратегическое мышление, нацеленность на результат и умение принимать сложные решения.<br /><br /><strong>Мы предлагаем:</strong></li> </ul> <ul> <li><strong>Высокий уровень дохода:</strong> <strong>оклад + квартальный бонус + годовая премия.</strong><br />На собеседовании обсудим ваши ожидания и наши возможности.</li> <li>Ключевую роль в компании и возможность напрямую влиять на бизнес-результаты.</li> <li>Оформление по ТК РФ, полный социальный пакет.</li> <li>Современный офис, корпоративная техника.</li> </ul>",[],https://hh.ru/vacancy/125504633,2025-09-21 21:46:25.428748
125563298,6030188,Исполнительный директор (CEO),Careerexpert,Москва,2025-09-20T23:37:59+0300,300000.0,400000.0,RUR,Более 6 лет,Полная занятость,Полный день,"['Управление командой', 'Оптимизация бизнес-процессов', 'Оптимизация затрат', 'Анализ бизнес показателей', 'Бюджетирование', 'Управление эффективностью', 'Управление затратами', 'Лидерство']","<p>Агентство маркетинговых коммуникаций, осуществляющее всестороннюю поддержку крупных торговых марок на рынке РФ и в странах ближнего зарубежья.</p> <p>Компания предоставляет комплексные услуги в области маркетинга в ритейле.</p> <p><strong>Мы ищем:</strong></p> <p>Опытного и стратегически мыслящего Исполнительного директора компании. Это ключевая позиция с прямым подчинением Генеральному директору.</p> <p>Ключевая роль: обеспечение качества и эффективности реализации проектов компании, развитие услуг компании и смежных сервисов.</p> <p>Ваши ключевые задачи:</p> <p><strong>Операционное управление и контроль: </strong>полный цикл управления отделом воплощения проектов - формирование, оптимизация и контроль исполнения бюджетов реализации проектов.</p> <p><strong>Эффективность</strong>: анализ затрат и разработка мер по их снижению. Обеспечение рентабельности работ, оптимизация прямых расходов по проектам, оптимизация складских услуг и затрат на логистику.</p> <p><strong>Команда и Развитие:</strong></p> <p>Разработка и реализация стратегии развития подотчетных отделов – реализация проектов, производство, логистика и складской комплекс. Формирование сильной команды. Подбор, мотивация и развитие персонала.</p> <p><strong>Аналитика и Отчетность:</strong></p> <p>Организация регулярной аналитической отчетности по всем аспектам работы отдела реализации. Принятие решений на основе данных.</p> <p><strong>Мы ждем от кандидата:</strong></p> <p>Опыт работы:</p> <p>Опыт на руководящих позициях в сфере управления проектами и подразделениями компаний.</p> <p>Доказанный опыт полного цикла управления реализацией масштабных проектов, включая производство, логистику, складские услуги, работы с субподрядчиками.</p> <p>Опыт прямого подчинения первому лицу компании (Генеральному Директору).</p> <p><strong>Технические Навыки:</strong></p> <p>Знание материалов и технологий производства рекламного и торгового оборудования, технологий печати (как преимущество).</p> <p>Понимание складского учета.</p> <p>Свободное владение ПК: Продвинутый MS Excel (сводные таблицы, формулы, анализ), Word, PowerPoint. Опыт работы с 1С.</p> <p><strong>Мы предлагаем:</strong></p> <p>Оформление по ТК РФ, 5/2 с 10.00 до 19.00</p> <p>Фикс 300 тыс. рублей на руки + KPI (совокупный доход 350-400 тыс. рублей)</p> <p>Ключевую роль в компании с прямым подчинением Генеральному директору.</p> <p>Масштабную задачу: полное управление большой командой реализации проектов и более 150 подрядными организациями.</p> <p>Реальную возможность влиять на бизнес-процессы и результат.</p> <p>Место работы: Москва, <strong>офис </strong>- м. Арбатская</p> <p> </p> <p> </p>",[],https://hh.ru/vacancy/125563298,2025-09-21 21:46:25.655461
125143584,5168378,Менеджер по работе с маркетплейсом OZON,Кучер Олег Леонидович,Москва,2025-09-19T11:21:31+0300,70000.0,110000.0,RUR,Нет опыта,Проектная работа,Удаленная работа,"['Аналитика маркетплейсов', 'Аналитическое мышление', 'Анализ ценообразования', 'Маркетплейсы', 'Анализ продаж', 'Анализ рынка', 'Анализ конкурентной среды', 'Анализ данных']","<p>Мы ищем человека, который возьмёт на себя проработку карточек товаров без ограничений в инструментах и подходах.</p> <p><strong>Что предстоит делать:</strong></p> <ul> <li>• <strong>Прокачивать карточки автозапчастей:</strong> название, описание, доп поля, применимость запчасти, SEO, фото, тексты, рич-контент, работа над воронкой и конверсиями - <strong>с целью оптимизации ДРР, и повышения продаж</strong></li> <li>• <strong>Проверять точность информации </strong>о применимости запчасти, искать в интернете</li> <li>• <strong>Анализировать наши карточки и конкурентов</strong>, выдачу, цены и запросы.</li> <li>• <strong>Проверять ставки в рекламных инструментах, </strong>при необходимости регулировать</li> <li>• <strong>Ставить ТЗ дизайнерам</strong>, курировать исполнение и следить за качеством.</li> <li>• <strong>Следить за оборачиваемостью</strong> остатков и вовремя сигнализировать (особенно FBO).</li> <li>• <strong>Ежедневные отчеты </strong>о проделанной работе</li> </ul> <p><strong>Мы ждём человека</strong>, который любит анализировать, находить причинно-следственные связи смотря на воронку, карточку и конкурентов. Здесь ценится не «как именно», а результат и рост продаж. От себя так же готовы рассказать вам все о категории автозапчастей, а так же показать быстрые приемы по анализу и проработке карточек.</p> <p><strong>О компании</strong></p> <p>Мы — молодая и быстрорастущая команда. Работаем на <strong>Wildberries, Ozon, Яндекс Маркет</strong>, развиваем <strong>автозапчасти</strong> 80% ассортимента, товары для дома, инструменты, автотовары и новые категории по спросу.</p> <p>Главное о наших брендах:</p> <ul> <li> <p><strong>Kortex</strong> — автозапчасти, <strong>10 000+ артикулов</strong>, структурировано по <strong>80 однотипным категориям</strong></p> </li> <li> <p><strong>АТ</strong> — товары для дома, спорта и туризма, <strong>~1000 артикулов</strong>, из них <strong>50–80 ключевых позиций</strong> с фокусом на продажи и рекламу</p> </li> </ul> <p>✅ Что мы ожидаем:</p> <ul> <li> <p><strong>Опыт работы с OZON</strong> - желательно от полу года, или пройденные курсы с фокусом на аналитику и продвижение</p> </li> <li> <p><strong>Опыт в улучшении конверсий карточек</strong>, увеличения продаж товара - полная ответственность за результат</p> </li> <li> <p>Практическое знание логики <strong>рекламы и алгоритмов выдачи OZON</strong></p> </li> <li> <p>Навыки в <strong>MPstats, Excel / Google Sheets, </strong>знание внутренних инструментов<strong> OZON Premium plus</strong></p> </li> <li> <p>Умение <strong>анализировать, приоритизировать и системно работать, гибкость мышления</strong></p> </li> </ul> <p>Условия:</p> <ul> <li> <p><strong>Оклад 70 000 ₽ + KPI (после увеличения продаж)</strong></p> </li> <li> <p><strong>График: 5/2</strong>, сб и вс — выходные</p> </li> <li> <p><strong>Проектная работа, или оформление в штат по ТК РФ</strong></p> </li> <li> <p><strong>Удалённый формат</strong></p> </li> <li> <p><strong>Зарплата — 2 раза в месяц</strong>, строго по графику</p> </li> <li> <p>Доступ ко всем инструментам:</p> <ul> <li> <p><strong>WB Джем</strong></p> </li> <li> <p><strong>MPstats</strong> (полный тариф)</p> </li> <li> <p><strong>Ozon Premium Plus</strong></p> </li> <li> <p><strong>Power BI с готовыми дашбордами</strong></p> </li> </ul> </li> <li> <p>‍В штате: <strong>2 дизайнера и фотограф со студией</strong></p> </li> <li> <p>Команда <strong>закупщиков в Китае (Шанхай)</strong></p> </li> <li> <p><strong>Обучение за счёт компании</strong> — курсы, конференции, форумы (например, <strong>COM E-ON</strong>)</p> </li> </ul> <p>Почему стоит к нам:</p> <ul> <li> <p>Спокойная, честная атмосфера</p> </li> <li> <p>Сильная команда и понятные процессы</p> </li> <li> <p>Фокус на развитие, без выгорания</p> </li> </ul> <p>Присылайте отклик — с интересом рассмотрим каждый опыт!</p> <ul> <li> </li> </ul>",[],https://hh.ru/vacancy/125143584,2025-09-21 21:46:25.877064
125246320,330,Менеджер по корпоративным проектам,Nestle,Москва,2025-09-19T09:36:29+0300,,,,От 3 до 6 лет,Полная занятость,Полный день,"['Управление проектами', 'Разработка бизнес-требований', 'Управление ожиданиями', 'Навыки презентации', 'Power BI', 'MS PowerPoint', 'MS Excel', 'Описание бизнес-процессов', 'Разработка пользовательской документации']","<p><em>Департамент по корпоративным делам и маркетинговым коммуникациям</em> отвечает за стандарты работы в области массовых коммуникаций и играет важную роль в формировании имиджа компании.</p> <p>Мы ищем <em>Менеджер по корпоративным проектам</em>, который будет осуществлять поддержку проектов по оптимизации процессов в области управления данными продукта, а также корпоративных маркетинговых проектов, направленных на разработку, развитие и продвижение продукции компании на рынках России и Евразии.</p> <p><strong>Вы будете:</strong></p> <ul> <li>Участвовать в проектах по оптимизации процессов в области управления данными продукта (от разработки и согласования до хранения всех маркетинговых материалов и передачи их клиентам);</li> <li>Анализировать предпочтения и запросы конечных пользователей систем;</li> <li>Описывать тест-сценарии, проводить тестирование и приемку новых функций систем;</li> <li>Описывать бизнес-кейсы для правильной постановки задач вендорам;</li> <li>Осуществлять анализ данных по ключевым бизнесовым метрикам, обеспечивать сбор, контроль и улучшение метрик;</li> <li>Разрабатывать и утверждать с ответственными лицами сопутствующие локальные документы: ролевая модель, требования к ведению проектов, взаимодействие с поставщиками;</li> <li>Следить за правильностью настройки и актуальностью административных данных в системе, проводить мониторинг правильности заполнения полей, предоставлять отчеты из системы по запросам работников;</li> <li>Отвечать за сбор требований со стороны юридического, технического, регуляторного и других отделов и своевременное внедрение изменений к подходу хранения данных;</li> <li>Участвовать в разработке и проводить тренинги для конечных пользователей систем.</li> </ul> <p><strong>Мы ожидаем:</strong></p> <ul> <li>Высшее образование (желательно в области менеджмента, экономики, информационных технологий, бизнес-информатики или маркетинга);</li> <li>Опыт работы в управлении проектами, информационными технологиями, маркетингом в качестве аналитика / бизнес аналитика, менеджера проектов не менее 3-х лет;</li> <li>Уверенный уровень владения MS Office (Excel, PowerPoint, Word);</li> <li>Аналитические навыки: умение собирать, систематизировать, анализировать данные и работать с бизнес-метриками;</li> <li>Знания в области структуры управления проектами, жизненного цикла проекта, процессов проекта и их организации;</li> <li>Навыки коммуникации и работы со стейкхолдерами;</li> <li>Высокий уровень самоорганизации;</li> <li>Уровень владения английским языком - Intermediate.</li> </ul> <p><strong>Мы ждем вас, если вы готовы:</strong></p> <ul> <li>Ставить перед собой высокие цели;</li> <li>Работать с самоотдачей, нести ответственность за результат;</li> <li>Выстраивает партнёрские отношения со всеми внутренними заказчиками и проявлять гибкость при работе c провайдерами/поставщиками услуг.</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Гибридный формат работы (до 30% удаленной работы, остальное время - в удобном современном офисе в двух шагах от м. Павелецкая);</li> <li>Компенсация питания;</li> <li>Забота о здоровье: расширенная программа ДМС с первого дня работы (включая полис для поездок за границу); страхование жизни; программа психологической поддержки; корпоративные спортивные команды и спортивные мероприятия; скидки на абонементы в фитнес-клубы;</li> <li>Поддержка профессионального и карьерного роста: у всех наших сотрудников есть индивидуальные планы развития и возможность проходить тренинги и программы, направленные на развитие функциональных и лидерских компетенций;</li> <li>Программа детского питания для детей сотрудников и другие льготы для поддержки семейных ценностей;</li> <li>Корпоративный магазин на территории офиса.</li> </ul> <p><strong>Меняйте мир к лучшему каждый день вместе с нами!</strong></p> <p><strong>Присоединяйтесь к Нестле!</strong></p>",[],https://hh.ru/vacancy/125246320,2025-09-21 21:46:26.154474
125452894,3612777,Заместитель Генерального директора,IBMM,Москва,2025-09-17T17:41:23+0300,,,,Более 6 лет,Полная занятость,Полный день,[],"<p><strong>1. Стратегическое управление и координация:</strong></p> <ul> <li>Взаимодействие со всеми подразделениями (продажи, закупки, производство, логистика, финансы).</li> <li> <p>Контроль выполнения KPI, плановых показателей и бюджетов.</p> </li> </ul> <p><strong>2. Управление проектами</strong></p> <ul> <li>Планирование, запуск и контроль исполнения стратегических инициатив</li> <li>Координация межфункциональных команд для достижения целей.</li> </ul> <p><strong>3. Аналитика и отчетность</strong></p> <ul> <li>Подготовка отчетов для руководства</li> <li>Выявление тенденций, рисков и возможностей на основе данных.</li> <li>Формирование рекомендаций для принятия управленческих решений.</li> </ul> <p> </p> <p><strong>Требования:</strong></p> <ul> <li>Опыт работы от 3-х лет на управленческих позициях или заместителя</li> <li>Отличные навыки планирования и организации.</li> <li>Умение работать в условиях многозадачности и быстро принимать решения.</li> <li>Знание основ финансового и стратегического менеджмента.</li> <li>Коммуникабельность и умение работать в команде.</li> </ul> <p><strong>Условия и преимущества:</strong></p> <ul> <li>Полная занятость с графиком 5/2.</li> <li>Работа в динамично развивающейся компании с возможностью профессионального роста.</li> <li>Конкурентоспособная заработная плата и система бонусов.</li> <li>Возможность стать частью команды экспертов в области майнинга и криптоиндустрии.</li> </ul>",[],https://hh.ru/vacancy/125452894,2025-09-21 21:46:26.378549
125449250,,Финансовый директор (CFO),IT-интегратор,Москва,2025-09-17T16:27:54+0300,,,,От 3 до 6 лет,Полная занятость,Полный день,"['Управленческая отчетность', 'Бизнес-планирование', 'Финансовый анализ']","<p> </p> <p>Мы ИТ-интегратор с государственным участием. У нас амбициозные цели, интересные задачи и отличная команда. Приглашаем кандидата на позицию финансового директора с выраженными лидерскими качествами, навыками построения конструктивных рабочих отношений с курирующим руководством, внутри команды и со своими прямыми подчиненными. Готовы рассмотреть кандидатов с позиций заместителя финансового директора, главного бухгалтера с опытом финансового моделирования.</p> <p><strong>Задачи:</strong></p> <ul> <li>Участие в стратегическом планировании, контроль достижения ключевых финансовых и операционных показателей;</li> <li>Настройка управленческой отчетность «под ключ»: настройка формата и регулярности P&amp;L, CF, BS по компании в целом и по бизнес-юнитам;</li> <li>Финансовая аналитика и моделирование: маржинальность по продуктам/клиентам/проектам, unit-экономика, сценарное моделирование (базовый/рост/стресс);</li> <li>Подготовка отчетности и аналитических материалов для топ-менеджмента;</li> <li>Аудит и оптимизация существующих финансовых процессов, внедрение новых практик и контроль эффекта;</li> <li>Контроль исполнения бюджета: ежемесячная сверка план/факт, корректирующие меры;</li> <li>Налоговое планирование и оптимизация в рамках закона: ревизия договорной базы и схем, автоматизация расчётов и контрольных процедур;</li> <li>Казначейство: управление денежными потоками и ликвидностью;</li> <li>Работа с банками: привлечение финансирования, обслуживание кредитного портфеля, переговоры и формирование позиции компании;</li> <li>Взаимодействие с внешними аудиторами, консультантами и государственными органами.</li> </ul> <p><strong>Ждем от Вас:</strong></p> <ul> <li>Своевременную управленческую отчетность, для принятия бизнесом решений на основе актуальных данных.</li> <li>Прозрачных бюджетов, контроль расходов работает, риски минимизированы;</li> <li>Оптимизированных и гармонично настроенных процессов;</li> <li>Конструктивных, понятных коммуникации со смежными подразделениями.</li> </ul> <strong>Условия:</strong> <ul> <li>Опыт руководства финансовой функцией в компании (от 5 лет);</li> <li><strong>Отличное знание управленческого учета, бюджетирования, налогового планирования;</strong></li> <li>Практический опыт финансового моделирования, анализа unit-экономики;</li> <li>Опыт взаимодействия с банками, инвесторами, государственными и корпоративными заказчиками;</li> <li> <div>Навыки построения и автоматизации финансовых процессов;</div> </li> <li> <div>Стратегическое мышление, сильные управленческие и коммуникативные навыки.</div> </li> </ul> <p><strong>Компенсационный пакет:</strong></p> <ul> <li>Рыночный уровень дохода (оклад+КПЭ);</li> <li>Расширенный полис ДМС (клиники &quot;Медси&quot;, стоматология);</li> <li>Парковочное место на территории офиса;</li> <li>Комфортный офис в шаговой доступности от метро. </li> </ul> <p> </p>",[],https://hh.ru/vacancy/125449250,2025-09-21 21:46:26.593645
125489480,,Финансовый аналитик,"Торговая компания, специализирующаяся на электронике",Москва,2025-09-18T15:11:08+0300,300000.0,400000.0,RUR,Более 6 лет,Полная занятость,Полный день,"['Анализ данных', 'Power BI', '1С', 'SQL', '1С программирование', 'Точность и внимательность к деталям', 'Планирование', 'Подготовка отчетов', 'Умение принимать решения', 'Работа с базами данных', 'Аналитические исследования', 'Анализ бизнес показателей', 'Финансовое моделирование', 'Аналитическое мышление', 'Экономический анализ', 'Бизнес-анализ']","<p><strong>О компании</strong></p> <p>Мы занимаемся торговлей электроникой. Основная деятельность — розничная продажа (90% оборота) через маркетплейсы и собственные розничные магазины, а также оптовые поставки (около 10%). Учет мультивалютный</p> <p><strong>Обязанности:</strong></p> <ul> <li> <p><strong>Главная цель:</strong> построить прозрачную, точную и удобную систему управленческого учёта и аналитики.</p> <p> </p> </li> <li> <p><strong>Привести в порядок текущий учёт:</strong></p> <p> </p> <ul> <li> <p>совместно с бухгалтером выстроить корректный учёт закупок, продаж и возвратов с учетом мультивалютности и сложной структруры продаж,</p> </li> <li> <p>привести все данные к единому стандарту и контролировать их чистоту.</p> </li> </ul> </li> <li> <p><strong>Построить аналитику и BI:</strong></p> <p> </p> <ul> <li> <p>настроить регулярные отчёты по продажам, возвратам, марже и остаткам,</p> </li> <li> <p>внедрить Power BI / автоматическую интеграцию с 1С,</p> </li> <li> <p>создать систему контрольных точек для регулярной сверки данных.</p> </li> </ul> </li> <li> <p><strong>Работа с IT и интеграциями:</strong></p> <p> </p> <ul> <li> <p>ставить задачи программистам по автоматизации процессов,</p> </li> <li> <p>участвовать в проектировании архитектуры данных,</p> </li> <li> <p>владеть Power Query, понимать SQL и API.</p> </li> </ul> </li> </ul> <p> </p> <ul> <li> <p><strong>Аналитическая поддержка руководства:</strong></p> <ul> <li>готовить рекомендации по оптимизации бизнес-процессов и управлению денежным потоком,</li> <li>предоставлять понятные отчёты и дашборды для принятия решений.</li> </ul> </li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Опыт работы <strong>финансовым аналитиком именно в торговых компаниях</strong> — от 5 лет.</li> <li> <p>Высшее образование: <strong>математическое / экономико-математическое / финансовое</strong> (сильный уклон в аналитику и математику).</p> </li> <li> <p>Отличное знание <strong>1С:УТ</strong> — управленческий учёт, возвраты, корректировки, себестоимость, мультивалютный учет.</p> </li> <li> <p>Уверенное владение <strong>Power BI</strong> (дашборды, фильтры, источники данных).</p> </li> <li> <p>Опыт работы с <strong>SQL</strong> (простые запросы, выгрузка данных из БД).</p> </li> <li> <p>Базовые знания <strong>IT</strong>: API, интеграции, форматы данных (JSON/CSV), понимание работы с программистами.</p> </li> <li> <p>Сильные математические навыки: аккуратность, проверка формул, валидность расчётов.</p> </li> <li> <p><strong>Системность и внимание к деталям</strong> — умение доводить процессы до стандарта и поддерживать их чистоту.</p> </li> </ul> <p><strong>Условия:</strong></p> <ul> <li><strong>Формат работы:</strong> полная занятость, работа в офисе.</li> <li> <p><strong>Команда:</strong> прямое взаимодействие с собственником, бухгалтером и IT-специалистами.</p> </li> <li> <p><strong>Влияние на бизнес:</strong> ключевая роль в построении прозрачного управленческого учёта и аналитики.</p> </li> <li> <p><strong>Вознаграждение:</strong> фиксированная зарплата + бонусы по результатам работы.</p> </li> <li> <p><strong>Премии:</strong> ежегодные премии за вклад в развитие компании.</p> </li> <li> <p>Отпуск, больничные по стандартным условиям трудового законодательства.</p> </li> </ul>",[],https://hh.ru/vacancy/125489480,2025-09-21 21:46:26.807715
125493864,81492,CRM менеджер (Junior/Middle),Профессиональный Футбольный Клуб ЦСКА,Москва,2025-09-18T16:14:08+0300,,,,От 1 года до 3 лет,Полная занятость,Полный день,"['CRM', 'Mindbox', 'Customer Journey Mapping', 'Internet Marketing', 'Яндекс.Метрика', 'Работа с базами данных', 'Анализ данных', 'Email маркетинг', 'Управление лояльностью потребителей', 'Digital Marketing', 'Техническая поддержка']","<p><strong>Обязанности:</strong></p> <p> </p> <ul> <li> <p><strong>Подготовка и запуск CRM-коммуникаций:</strong></p> <ul> <li> <p>Настройка и запуск email-рассылок, push-уведомлений и сообщений в мессенджеры.</p> </li> <li> <p>Создание и верстка писем с использованием HTML/CSS-конструкторов.</p> </li> <li> <p>Подготовка контента и контроль его корректного отображения на разных устройствах и в разных почтовых клиентах.</p> </li> </ul> </li> <li> <p><strong>Работа с клиентской базой и сегментация:</strong></p> <ul> <li> <p>Формирование и подготовка выборок клиентов для маркетинговых кампаний по разным критериям.</p> </li> <li> <p>Активное участие в построении и развитии сегментов и воронок клиентов.</p> </li> <li> <p>Помощь в анализе клиентских данных для поиска новых точек роста.</p> </li> </ul> </li> <li> <p><strong>Аналитика и отчетность:</strong></p> <ul> <li> <p>Ежедневный/еженедельный сбор и анализ статистики по проведенным кампаниям (открытия, клики, конверсии и др.) в DataLens.</p> </li> <li> <p>Подготовка регулярных отчетов об эффективности каналов коммуникации и ключевых метриках (ROI, Retention Rate).</p> </li> <li> <p>Формулирование выводов и предложений по оптимизации на основе данных.</p> </li> </ul> </li> <li> <p><strong>Проведение A/B-тестов:</strong></p> <ul> <li> <p>Настройка A/B-тестов.</p> </li> <li> <p>Анализ результатов тестов и подготовка рекомендаций для будущих рассылок.</p> </li> </ul> </li> <li> <p><strong>Поддержка и администрирование CRM-платформы:</strong></p> <ul> <li> <p>Мониторинг работы и помощь в настройке автоматических триггерных сценариев (welcome-цепочки, брошенные корзины и др.).</p> </li> <li> <p>Проверка корректности передачи данных и их отображения в платформе.</p> </li> <li> <p>Поддержание порядка в библиотеке шаблонов писем и базе сегментов.</p> </li> </ul> </li> <li> <p><strong>Развитие процессов:</strong></p> <ul> <li> <p>Участие в разработке идей и гипотез для повышения эффективности CRM-маркетинга и цифровых сервисов в ПФК ЦСКА.</p> </li> <li> <p>Участие в развитии программы лояльности для болельщиков.</p> </li> <li> <p>Помощь в документировании процессов и инструкций.</p> </li> </ul> </li> </ul> <p><strong>Требования:</strong></p> <ul> <li> <p>Понимание основ интернет-маркетинга и роли CRM-каналов в бизнесе.</p> </li> <li> <p>Базовые знания email-маркетинга и клиентоориентированный подход.</p> </li> <li> <p>Грамотная письменная речь и умение работать с текстами.</p> </li> <li> <p>Техническая склонность: готовность разбираться в новых платформах (опыт работы с Mindbox будет большим плюсом).</p> </li> <li> <p>Внимательность и аккуратность (двойные проверки перед запуском — обязательно).</p> </li> <li> <p>Базовые знания Excel/Google Таблиц (фильтры, сортировка, простые формулы)</p> </li> <li> <p>Проактивность и ответственность: нам важно, чтобы вы не просто выполняли задачи, а понимали их цель, предлагали улучшения и доводили начатое до результата.</p> </li> </ul> <p><strong>Условия:</strong></p> <p> </p> <ul> <li> <p>Полный рабочий день (5/2)</p> </li> <li> <p>Работа в офисе у метро ЦСКА</p> </li> <li> <p>Официальное трудоустройство и полный социальный пакет.</p> </li> <li> <p>ДМС (добровольное медицинское страхование).</p> </li> <li> <p>Бесплатные билеты на футбол для сотрудников.</p> </li> <li> <p>Работа в известном спортивном клубе с лояльной и большой аудиторией.</p> </li> <li> <p>Возможность влиять на развитие маркетинга ключевых продуктов клуба и реализации масштабных проектов.</p> </li> </ul>",[],https://hh.ru/vacancy/125493864,2025-09-21 21:46:27.025861
